Field,Type,Frequency,Percent,Examples
_id,ObjectId,128159,100.0,{'$oid': '55c4f2f1ec4a8977f7a31a0c'} | {'$oid': '55c4eba3ec4a89783ca31a0c'} | {'$oid': '55c4e4ddec4a897835a31a0b'} | {'$oid': '55c4eba3ec4a89783ca31a0d'} | {'$oid': '55c4e4ddec4a897835a31a08'}
_id.$oid,String,128159,100.0,55c4eba3ec4a89783ca31a0c | 55c4eba3ec4a89783ca31a0d | 55c4e4ddec4a897835a31a08 | 55c4f2f1ec4a8977f7a31a0c | 55c4e4ddec4a897835a31a0b
blocks,Array,128159,100.0,"[{'definition': {'$oid': '55c4f2f1ec4a8977f7a31a0e'}, 'block_type': 'course', 'block_id': 'course', 'fields': {'tabs': [{'type': 'courseware', 'name': | [{'definition': {'$oid': '55c4eba3ec4a89783ca31a10'}, 'block_type': 'about', 'block_id': 'effort', 'fields': {'children': []}, 'defaults': {}, 'edit_i | [{'definition': {'$oid': '55c7ef16ec4a897814a31a0a'}, 'block_type': 'course', 'block_id': 'course', 'fields': {'tabs': [{'type': 'courseware', 'name': | [{'definition': {'$oid': '55c4e4ddec4a897835a31a0a'}, 'block_type': 'course', 'block_id': 'course', 'fields': {'tabs': [{'type': 'courseware', 'name': | [{'definition': {'$oid': '55c4eba3ec4a89783ca31a10'}, 'block_type': 'about', 'block_id': 'effort', 'fields': {}, 'defaults': {}, 'edit_info': {'edited"
blocks[],Array,128159,100.0,
blocks[].block_id,String,19378403,15120.59,course | entrance_exam_enabled | effort | entrance_exam_minimum_score_pct | overview
blocks[].block_type,String,19378403,15120.59,chapter | sequential | course | about | course_info
blocks[].defaults,Object,19378403,15120.59,{}
blocks[].definition,ObjectId,19378403,15120.59,{'$oid': '55c4eba3ec4a89783ca31a10'} | {'$oid': '55c4e4ddec4a897835a31a0c'} | {'$oid': '55c4eba3ec4a89783ca31a11'} | {'$oid': '55c4eba3ec4a89783ca31a0f'} | {'$oid': '55c4e4ddec4a897835a31a0a'}
blocks[].definition.$oid,String,19378403,15120.59,55c4e4ddec4a897835a31a0c | 55c4eba3ec4a89783ca31a0f | 55c4e4ddec4a897835a31a0a | 55c4eba3ec4a89783ca31a11 | 55c4eba3ec4a89783ca31a10
blocks[].edit_info,Object,19378403,15120.59,"{'edited_by': {'$numberLong': '105'}, 'previous_version': None, 'original_usage_version': None, 'original_usage': None, 'edited_on': {'$date': '2015-0 | {'edited_by': {'$numberLong': '104'}, 'previous_version': {'$oid': '55c4e4ddec4a897835a31a0b'}, 'original_usage_version': None, 'original_usage': None | {'edited_by': {'$numberLong': '104'}, 'previous_version': {'$oid': '55c4e4ddec4a897835a31a08'}, 'original_usage_version': None, 'original_usage': None | {'edited_by': {'$numberLong': '104'}, 'previous_version': {'$oid': '55c4eba3ec4a89783ca31a0d'}, 'original_usage_version': None, 'original_usage': None | {'edited_by': {'$numberLong': '104'}, 'previous_version': None, 'original_usage_version': None, 'original_usage': None, 'edited_on': {'$date': '2015-0"
blocks[].edit_info.edited_by,Long,19378403,15120.59,{'$numberLong': '20'} | {'$numberLong': '106'} | {'$numberLong': '108'} | {'$numberLong': '104'} | {'$numberLong': '105'}
blocks[].edit_info.edited_by.$numberLong,String,19374308,15117.4,104 | 105 | 106 | 108 | 20
blocks[].edit_info.edited_on,Date,19378403,15120.59,{'$date': '2015-08-07T12:03:25.530-0500'} | {'$date': '2015-08-07T12:32:19.176-0500'} | {'$date': '2015-08-07T12:03:25.561-0500'} | {'$date': '2015-08-07T12:03:25.558-0500'} | {'$date': '2015-08-07T12:03:25.550-0500'}
blocks[].edit_info.edited_on.$date,String,19378403,15120.59,2015-08-07T12:03:25.530-0500 | 2015-08-07T12:03:25.558-0500 | 2015-08-07T12:32:19.176-0500 | 2015-08-07T12:03:25.561-0500 | 2015-08-07T12:03:25.550-0500
blocks[].edit_info.original_usage,Null,19378403,15120.59,None
blocks[].edit_info.original_usage_version,Null,19378403,15120.59,None
blocks[].edit_info.previous_version,ObjectId,19378403,15120.59,None | {'$oid': '55c4f2f1ec4a8977f7a31a0f'} | {'$oid': '55c4e4ddec4a897835a31a0b'} | {'$oid': '55c4eba3ec4a89783ca31a0d'} | {'$oid': '55c4e4ddec4a897835a31a08'}
blocks[].edit_info.previous_version.$oid,String,18032932,14070.75,55c4f2f1ec4a8977f7a31a0f | 55c4eba3ec4a89783ca31a0d | 55c7ef16ec4a897814a31a0b | 55c4e4ddec4a897835a31a08 | 55c4e4ddec4a897835a31a0b
blocks[].edit_info.source_version,Null,19378403,15120.59,None | {'$oid': '55c4f2f1ec4a8977f7a31a0c'} | {'$oid': '55c4eba3ec4a89783ca31a0c'} | {'$oid': '55c7ef16ec4a897814a31a08'} | {'$oid': '55c4e4ddec4a897835a31a08'}
blocks[].edit_info.source_version.$oid,String,6944655,5418.78,55c4eba3ec4a89783ca31a0c | 55c7ef2dec4a8977eba31a08 | 55c7ef16ec4a897814a31a08 | 55c4e4ddec4a897835a31a08 | 55c4f2f1ec4a8977f7a31a0c
blocks[].edit_info.update_version,ObjectId,19378403,15120.59,{'$oid': '55c4f2f1ec4a8977f7a31a0c'} | {'$oid': '55c4eba3ec4a89783ca31a0c'} | {'$oid': '55c4e4ddec4a897835a31a0b'} | {'$oid': '55c4eba3ec4a89783ca31a0d'} | {'$oid': '55c4e4ddec4a897835a31a08'}
blocks[].edit_info.update_version.$oid,String,19378403,15120.59,55c4eba3ec4a89783ca31a0c | 55c4eba3ec4a89783ca31a0d | 55c4e4ddec4a897835a31a08 | 55c4f2f1ec4a8977f7a31a0c | 55c4e4ddec4a897835a31a0b
